neighbourhood,id,host id,lat,long,Construction year,Price,service fee,minimum nights,number of reviews,reviews per month,Review Score,calculated host listings count,availability 365,distanceTimeSquare
Flatbush,28976427.96988417,48859953183.40463,40.64498044,-73.96042603332818,2012.3341067285385,650.9536321483771,130.24263565891474,6.465996908809892,24.675947409126064,1.1760018298261663,3.235658914728682,2.1801242236024843,119.83116883116882,12.843217287261654
Flatiron District,27579200.55063292,48380585346.20253,40.74108226751592,-73.98833222929937,2012.518987341772,613.1012658227849,122.6518987341772,6.677215189873418,25.55696202531645,1.2046031746031745,3.286624203821656,7.770700636942675,168.40540540540542,2.0121840858081352
Flatlands,30829257.04608295,47768802332.87558,40.62492737327188,-73.9312803686636,2012.930875576037,643.2222222222222,128.85714285714286,3.640552995391705,28.390697674418604,1.6984210526315793,3.1705069124423964,1.9400921658986168,203.90232558139536,15.584859208092327
Flushing,31019058.59390863,48907268267.12995,40.75463520897462,-73.81946727926905,2012.5238578680203,633.25,126.41326530612244,5.144455747711088,42.20672097759674,2.037725225225225,3.288775510204081,4.519348268839104,174.88144329896906,14.000673924352329
Fordham,33941785.94771242,50194532155.56209,40.86294934640523,-73.8952231372549,2012.4575163398688,644.9013157894736,128.65359477124184,7.15686274509804,22.862745098039216,1.4253435114503814,3.3087248322147653,3.601307189542484,138.11764705882354,13.828175027927394
Forest Hills,29212544.79344262,51443321898.94426,40.72201295081968,-73.84762160655738,2013.079207920792,593.2565789473684,118.45901639344262,7.0756578947368425,24.81967213114754,1.4191570881226052,3.381578947368421,2.019736842105264,137.16387959866222,12.31701908263476
Fort Greene,27187322.93572181,50752771061.13066,40.69012818424658,-73.97403514737618,2012.0802534318905,614.0337909186906,122.78669482576558,8.436575052854122,25.3245521601686,1.0146871165644171,3.1983032873807,2.38648363252376,106.83795782463928,7.707964028807474
Fort Hamilton,30865922.966666665,49090400356.44167,40.61891325,-74.03222483333333,2011.95,569.05,113.825,6.866666666666666,20.575,1.0049514563106796,3.475,1.4789915966386555,161.864406779661,16.065783390856037
Fort Wadsworth,30808414.5,69931737808.5,40.59546,-74.06092,2021.0,1024.0,205.0,7.0,0.0,,2.0,3.0,365.0,19.264378285699788
Fresh Meadows,33684616.42,50546618890.17,40.740216020000005,-73.78866763,2012.08,564.36,112.87,2.28,44.65,2.338020833333333,3.071428571428572,3.2,152.18,16.696124009609186
Gerritsen Beach,32054587.33333333,58763990216.66666,40.59531666666667,-73.92836,2013.0,694.3333333333334,138.66666666666666,1.6666666666666667,49.333333333333336,3.2900000000000005,4.333333333333333,1.0,177.0,18.809619436340387
Glen Oaks,30273512.0,35906394211.5,40.74738,-73.70523,2017.5,550.5,110.0,1.0,29.5,3.98,4.5,4.0,363.0,23.611742570680057
Glendale,32892695.661870506,45967822082.48202,40.70107982769783,-73.88785699496403,2012.1294964028773,652.884892086331,130.93478260869566,4.720588235294118,30.10071942446044,1.9795967741935483,3.0071942446043165,1.8201438848920863,170.3525179856115,10.44491950941472
Gowanus,28066680.182186235,51519092535.78542,40.67601601214575,-73.98898400809718,2012.8028455284552,643.2073170731708,128.39271255060729,7.239837398373984,37.4251012145749,1.3935334872979217,3.133874239350913,2.602434077079108,132.83891213389123,9.226816707651214
Gramercy,27983240.834054835,48786812755.93507,40.73551829544012,-73.98438959151515,2012.5483405483403,614.959479015919,122.90751445086704,10.65412445730825,23.52312138728324,1.053653846153846,3.305354558610709,5.473304473304474,121.1326219512195,2.610029767183888
Graniteville,30848022.42857143,43062960809.28571,40.62105714285715,-74.16141571428571,2010.571428571429,732.5714285714286,146.42857142857142,2.857142857142857,25.285714285714285,2.165714285714286,2.7142857142857144,1.0,196.28571428571428,21.361676110693217
Grant City,33185589.27272728,48449700104.181816,40.57923727272728,-74.10976681818181,2010.8636363636365,558.2272727272727,111.63636363636364,19.681818181818183,27.954545454545453,1.6364999999999998,3.227272727272727,5.227272727272728,216.45454545454547,22.574129397867395
Gravesend,30205121.58741259,48384285443.92308,40.59582979020978,-73.97734083916083,2012.5034965034963,698.0704225352113,140.35211267605635,6.418439716312057,26.23776223776224,1.3421698113207543,3.309859154929577,2.951048951048952,161.0709219858156,18.156371709031813
Great Kills,33088125.08333333,47501198936.875,40.55096125,-74.14670083333334,2011.75,682.875,136.625,9.958333333333334,30.95833333333333,0.9933333333333332,3.0,1.6666666666666667,113.56521739130434,26.85082542629988
Greenpoint,27544751.636024263,49309337208.0308,40.7279528635404,-73.9505714909575,2012.5800561797755,612.4127281235377,122.44033692091718,7.391467416783873,20.73805060918463,0.9732183908045976,3.2144194756554305,4.459269662921348,105.92794117647058,4.519647323344494
Greenwich Village,28007457.955645163,51138016624.59946,40.73074533064516,-73.99848674462365,2012.5269541778976,639.8067567567567,127.7513440860215,15.093622795115332,18.27628032345013,0.906411092985318,3.223719676549865,2.522267206477733,105.15536723163842,3.33092007691013
Grymes Hill,31431593.111111112,39571607295.66666,40.614978888888885,-74.09170722222224,2009.5,675.8888888888889,135.22222222222223,2.3125,31.88888888888889,1.7570588235294118,3.7222222222222223,1.0,128.76470588235293,18.356361059203103
Harlem,28621284.01335529,49718275862.78504,40.81586197237651,-73.94793450641602,2012.41195891416,626.8024193548387,125.23761467889908,7.591251608160265,32.96388634280476,1.310628667225482,3.230783376241265,2.74894320896894,123.8052995391705,7.083417147938924
Hell's Kitchen,29182487.424716268,49196746966.32812,40.76188969925851,-73.99167927982344,2012.7666835187056,621.065387528402,124.24134445286832,9.763084702907712,28.21277132761232,1.6799453717754174,3.2816295546558703,17.253471345619793,155.88482632541132,0.8056494782136967
Highbridge,32257666.46268657,47077276956.20896,40.83636791044776,-73.92743462686569,2014.089552238806,676.0298507462686,135.19402985074626,8.880597014925373,44.46268656716418,2.164516129032258,3.029850746268657,2.283582089552239,146.19402985074626,9.8912144465429
Hollis,34677903.81818182,46018441489.52273,40.71375781818183,-73.76624047727272,2012.7272727272727,554.9090909090909,110.9318181818182,4.75,12.840909090909092,1.4215151515151516,3.590909090909091,2.302325581395349,163.47727272727272,19.117240251582924
